ICAO_AERODROMO_ORIGEM;ICAO_AERODROMO_DESTINO
SBBE;SBEG
SBGL;SBPA
SBEG;SBBE
SBGL;SBEG
SBKP;SBEG
SBEG;SBKP
SBEG;SBBR
SBKP;SBRF
SBKP;SBBR
SBBR;SBEG
SBBR;SBKP
SBGR;SCEL
SCEL;DNMM
DGAA;SPJC
SPJC;EBLG
SBGR;HAAB
DNMM;SBGR
SBSV;SBVC
SBMO;SBAR
SBRF;SBMO
SBAR;SBSV
SBVC;SBCF
SBSG;SBRF
SBPL;SBFZ
SBMK;SBPL
SBFZ;SBSG
SBCF;SBMK
SBJD;SBCF
SBCF;SBJD
SBVT;SBGR
SBGR;SBVT
SBJD;SBGR
SWFX;SJHG
SJHG;SWHP
SWHP;SWFX
SWTS;SBCY
SWJN;SWTS
SSOU;SWJN
SBCY;SWTS
SBCY;SWJN
SWTS;SWJN
SWJN;SSOU
SBMD;SNYA
SBIH;SBSN
SNRJ;SBIH
SBSN;SNMA
SBRF;SNRU
SBGO;SBBW
SBBW;SBGO
SBBW;SBCY
SBCY;SBBW
SNVS;SBBE
SBBE;SNVS
SBMD;SNVS
SBMD;SBBE
SBBE;SBMD
SBSN;SBMD
SWPI;SBEG
SBSP;SDIM
SDTK;SBSP
SBSP;SBSJ
SBSP;SDTK
SDAG;SBSP
SBRJ;SDAG
SBME;SBRJ
SBRJ;SBME
SBCP;SBRJ
SBRJ;SBCP
SNHS;SBRF
SBRF;SNHS
SNRU;SBRF
SBSP;SDAG
SSTE;SBPA
SSCN;SBPA
SBPA;SSTE
SBPA;SSCN
SBJE;SBFZ
SBFZ;SBJE
SDTK;SBRJ
SBRJ;SBSJ
SBRJ;SDTK
SDAG;SBRJ
SNGA;SBCF
SBCF;SNGA
EBLG;OTHH
ELLX;SBGR
SBGR;SAEZ
ELLX;OTHH
ELLX;SBKP
OTHH;ELLX
SBKP;SCEL
SGAS;SACO
SACO;SGAS
SGAS;LEMD
LEMD;SLVR
LEMD;SAEZ
SAEZ;LEMD
LEMD;SUMU
SUMU;LEMD
LEMD;SBGR
SBGR;LEMD
LEMD;SBSV
SBSV;LEMD
LEMD;SPJC
SPJC;LEMD
SLVR;LEMD
SBBE;SMJP
SMJP;SBBE
SLVR;SBGR
SBGR;SLVR
SBGR;SUMU
SUMU;SLLP
SLLP;SBGR
SCEL;SBGR
SCEL;SBGL
SBGL;SCEL
SCEL;YSSY
YSSY;SCEL
SCEL;SBCF
SBCF;SCEL
SCEL;SBFL
SBFL;SCEL
SBGL;KMIA
SBGR;SBGO
KMIA;SBGL
SBGR;KMIA
KMIA;SBGR
SBGR;KJFK
SBGR;KDFW
KJFK;SBGR
KDFW;SBGR
SBEG;KMIA
KMIA;SBEG
SKBO;SBGR
SBGR;SKBO
SBGL;SKBO
SKBO;SBGL
KMIA;SBKP
SKBO;KMIA
SCEL;SAEZ
SAEZ;SBKP
SBKP;SKBO
